ORDER_ID,ORDER_AT,STORE_ID,ID
d12c8fff-ca58-4ec4-80ae-52acbfee62ec,2023-05-18 03:38:16,fe83bdd4-c88e-4af2-8fc2-5efa2e852997,23219fe1-f50b-4b69-bd60-23680845e3bd
7bdb717f-7f54-49e6-ade4-d621546b150c,2023-06-11 05:58:55,e13cf120-2233-4f47-bec3-677d9c0c0d95,80c8f3d4-1839-47fb-a883-32a55faa41ec
57f16a23-b3a8-424f-b339-9686dede6574,2023-12-27 11:05:03,00b446d5-af6e-416d-b98f-5bdd20691f77,e18a4bf8-8de0-4cbe-93c5-fd9fbd7f98f2
382b645f-d8b4-473a-b4f1-e6d545cc973b,2023-04-22 07:11:13,43facb0e-5e28-4129-b0cc-9caf54269e23,fe469f12-2b8f-4a89-b7ec-329963026b7e
8897f210-cd91-4d20-a0db-40dd2dc5a58d,2023-03-25 07:29:33,e13cf120-2233-4f47-bec3-677d9c0c0d95,fb75c40b-3cd7-4058-a6d0-e028b4310757
70f7aad0-e02c-40a5-a808-621f8c8178b4,2023-03-18 09:37:22,f4357aa9-857d-4486-bc93-96d64f4f9ede,cd30f6e9-6e59-42d5-8b38-628c4820152c
73e8a0d6-d800-4129-a4f7-df83d150aa6d,2023-12-20 09:52:23,23ab0e5f-a1f0-42df-a421-324a6fc94ed7,5555c645-9411-41b8-92c2-d1406ec1cbc0
54ba2c5f-110d-4ed9-a233-d9eb13f1376d,2023-01-02 10:30:00,61e3b6ce-76a0-4810-9728-48e2a5208a8b,8c6a2cc4-50b8-4619-aa97-fac3aab41ec9
8d7a6c04-5e3b-4beb-9cd9-c38083da849a,2023-11-15 07:17:51,e6501a0a-c6d0-4201-ba34-25be1207e88e,ebeb7d90-8bf6-4435-a2ca-b7387679d7d1
27b26305-a621-4a46-b61c-bd260a00e2c6,2023-02-26 10:01:53,678a5ce4-ff04-4b9a-8779-b93123148ac8,fe9789bc-62e8-4060-a2d7-1e85a0238aac
6615c6c3-67a8-453e-ae53-cd6bfbf452f0,2023-10-25 03:59:12,e13cf120-2233-4f47-bec3-677d9c0c0d95,11e0cd02-5bfc-46ef-bc29-c6a7624556cc
788c4b6f-86df-4e35-b314-2c2fed167cea,2023-01-14 04:23:30,a2b1b031-7804-447a-8c1b-a4da93679857,ce043ba1-5900-4d04-bdb0-8144e25ed2a2
e2796f62-b319-482a-aa05-6548e9b4b410,2023-05-27 09:35:09,bd3e07a4-01c1-4cce-a132-6648a0e66607,7a3a5722-7353-434c-951d-92a9f2d6f3f8
2db7361d-57b4-4376-aec6-a188b4673e83,2023-03-11 08:39:17,f4357aa9-857d-4486-bc93-96d64f4f9ede,53ab72d0-67d9-4550-899d-6f03b89afffc
7d1f0607-2a43-48ee-88ac-3f7f5a5a71e6,2023-10-24 05:05:53,5552624d-2409-4241-8855-17b860cce4e3,1e0b92a9-2902-43c5-bc4b-c54c2f804493
