ORDERITEM_ID,ORDER_ID,ITEM_ID
c6702e69-0164-4700-b553-d2324dc4d31a,79aaa1a5-42c2-46c9-96a2-32d368f3d0ea,23dd3cff-bba9-4324-823c-3d8d79718403
f3e5f531-e81b-4714-ada1-26095dd5931d,541fbc17-97d5-4a52-b799-7e98b3239c19,b485f513-3d9c-4cfe-a587-e68fea56f9d6
01928bd8-75cd-4ece-8160-c0fc61f66917,b19a4875-b0a3-4a51-a3e0-ce11ce8d2989,883d9049-2c85-458d-8596-d43a34bd4821
117aeb55-c58c-4147-b950-a739d99ff18d,e725571b-5eab-4a4c-8b5c-ce46390890b3,f98ea582-8030-49fa-9da8-dada0db6caed
0c42fbd8-352d-4dc3-b983-97e186bc330f,de70b271-12f3-46de-8686-89a967c1945f,ba296189-fbdd-4758-af74-030b8197f1e2
dda788fa-9c0e-4cb9-9af6-4dbe3f580e7e,67db2365-daa8-45cb-b347-11956baba937,f39a1463-fef0-461b-b5d6-688400e4d0d2
a3e0eed4-c9db-4c33-8743-b16a06724fd9,0ff168d8-339f-4637-bcc1-2059407a7763,ec8d1d55-2ecb-4033-9546-e804ca91eef5
08d9e833-aafb-477e-abea-4a752b5a7ab7,8c570975-c65b-4856-bd91-e992d01c06c4,e2929bc1-bc23-4a31-8f04-d4430acd9cf3
7b5ef244-dbee-40ea-b0f0-7aa5c4eb9509,11bd0416-2f51-4640-9125-b6578ff679a7,09772f42-5f2f-4cb5-845d-8d9cdaa7b74a
9ce929b0-1207-43fb-b002-5bab2b783977,a502c654-aaf0-4d52-a364-b9e6ca49c49f,81bb7283-c4be-40c8-9055-04273c19c583
9f5261ab-dc6f-4812-8840-ffbdbd1560f2,6624aedf-53ab-495e-8b44-8fa49f43a15d,b485f513-3d9c-4cfe-a587-e68fea56f9d6
8e32e85a-df5c-496d-9c10-bbb945ce7161,36d6b4a8-9acd-482d-b4cb-8f76b95c35da,d58a1a69-5d04-42bd-95e0-afd295dbf429
55ae805e-b806-453e-8383-9f603985525b,924d3d43-49dd-4f56-a1fe-9f2de4f908e4,7984fa91-c589-41b5-846e-c05c9b3185c5
75dab17e-610c-493a-9ee4-1c8225a9447b,ff35687b-8b8d-4c35-938b-deaee66258c7,96f66786-211b-4f78-839e-19f34b696da3
48e46ab9-5b06-4a89-b9b3-a6caf55dcba4,cf98ec28-b024-45db-9c66-135df5cb655f,7984fa91-c589-41b5-846e-c05c9b3185c5
279e6453-e75d-4567-b709-3cfa7527d88a,4ba5587f-e629-4180-bd22-697dedd9049a,7984fa91-c589-41b5-846e-c05c9b3185c5
bdb819a4-a370-485f-b9c1-9229293366f3,99dd4a10-cfdb-4fce-9627-3ffde1ad0654,58a72979-756b-46da-9c0f-ca429a11182f
1b83814f-9a16-4fcf-9ae0-10b8d5eddd01,cadc441a-9a05-4894-beee-80131b025ff7,96f66786-211b-4f78-839e-19f34b696da3
3466d3cc-c172-46c8-bd4f-4990928437a2,879f118d-23cf-48ed-a77d-db0434362544,f39a1463-fef0-461b-b5d6-688400e4d0d2
7e71d281-f742-4027-8c19-791973f66fe5,18c9a3ae-6aba-4e9c-ae09-02b9a577dcd9,4be03d45-fdd7-4573-977a-211c3d632a9d
973c55a6-02df-4ee3-865c-fead0fe149fd,19e8e06a-6eea-47c1-9e86-20e53d4708a8,d58a1a69-5d04-42bd-95e0-afd295dbf429
692367f3-e7b3-402a-aa44-3347a1c1eac1,17a79b99-31bc-45ed-a774-09bd1309f74f,5f349a11-38a5-4c75-94c0-ba3c33c5521d
9e326cae-4d87-4e1b-9565-894286a8b82a,55d46155-3ddc-42dd-bb44-dc3d2089d02f,96f66786-211b-4f78-839e-19f34b696da3
026e014e-244d-426d-93e0-b536eb68614a,9f6cc098-9392-449b-8277-d83a1445d38c,7da0d0ba-646f-4fd7-9b12-7abbaad3cc4f
c11694c0-fb30-4998-a868-628236d55283,9e4047d9-f21c-4a8e-bceb-ef4d88b2dae2,f98ea582-8030-49fa-9da8-dada0db6caed
109bed9f-e6a0-41c5-941a-ce73c9ccc4fb,5dce4a55-74f5-43e6-8363-4fe8ee74c29f,4be03d45-fdd7-4573-977a-211c3d632a9d
4a1bb54a-dc99-4b9f-abea-1ecdd8f91ee9,c219716c-e781-4409-a164-2efc3e17c240,58a72979-756b-46da-9c0f-ca429a11182f
87ba6181-e99a-4c17-b291-545bfbe7ad7b,547b17f5-e306-43ec-8ba5-78a05404f5b7,d58a1a69-5d04-42bd-95e0-afd295dbf429
8772fdc0-6c29-477c-9e7a-931d4e770c43,7b709af5-5c20-466b-b82f-29ca6ba88a92,e2929bc1-bc23-4a31-8f04-d4430acd9cf3
731f044c-5a35-4335-9b60-65a79fc7975a,da46f4cd-f86c-4f05-b891-ef113a38c52d,ec8d1d55-2ecb-4033-9546-e804ca91eef5
2b42fbaf-2590-4f8e-8e19-ba528f7fe97f,5a27da2d-a653-4e22-9e04-7b8ffb11bd35,f39a1463-fef0-461b-b5d6-688400e4d0d2
43492b27-60aa-4ec6-8c98-af749f064b03,8e45d91b-a22e-4c2f-ba8b-742b5f0eabbb,7984fa91-c589-41b5-846e-c05c9b3185c5
7726b4aa-80c1-4499-a70a-35f4ab32f1c7,26c1449b-8365-4bff-ba46-789f696dc45e,b2bf93ea-9be3-4f29-8869-b6fd0e413a6b
